No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf,Prediksi,Benar
140,Dengan Nasi Merah Paket,ayam,369,jagung nasi merah kentang,menu with brown rice box yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",with brown rice box lainnya jagung nasi merah kentang menu with brown rice box yang sehat dan lezat,"jagung, nasi merah, kentang",dengan nasi merah paket,menu with brown rice box yang sehat dan lezat,,dengan nasi merah paket dengan nasi merah paket,dengan nasi merah paket menu with brown rice box yang sehat dan lezat nasi kentang jagung merah ,dengan nasi merah paket menu with brown rice box yang sehat dan lezat,ayam,True
75,Ayam Suwir Teriyaki,ayam,400,kentang nasi merah nasi putih,ayam suwir saus teriyaki tumis sayuran,"['nasi', 'putih', 'kentang', 'merah']",ayam suwir teriyaki ayam kentang nasi merah nasi putih ayam suwir saus teriyaki tumis sayuran,"kentang, nasi merah, nasi putih",ayam suwir teriyaki,ayam suwir saus teriyaki tumis sayuran,protein_ayam teriyaki,ayam suwir teriyaki protein_ayam flavored,ayam suwir teriyaki ayam suwir saus teriyaki tumis sayuran nasi putih kentang merah protein_ayam teriyaki,ayam suwir teriyaki ayam suwir saus teriyaki tumis sayuran,ayam,True
253,Dori Telur Asin Diet,ikan,423,kentang ubi nasi merah nasi putih,menu dori salted egg diet yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori salted egg diet ikan kentang ubi nasi merah nasi putih menu dori salted egg diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",dori telur asin diet,menu dori salted egg diet yang sehat dan lezat,protein_ikan,dori telur asin diet protein_ikan,dori telur asin diet menu dori salted egg diet yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,dori telur asin diet menu dori salted egg diet yang sehat dan lezat,ikan,True
176,Dori Sambal Matah Sehat,ikan,355,jagung nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",dori sambal matah healthy ikan jagung nasi merah nasi putih menu dori sambal matah healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih",dori sambal matah sehat,menu dori sambal matah healthy yang sehat dan lezat,protein_ikan,dori sambal matah sehat protein_ikan,dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat nasi putih jagung merah protein_ikan,dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat,ikan,True
80,Ayam Bakar Padang,ayam,395,kentang ubi nasi merah nasi putih,ayam bakar bumbu padang tanpa santan lauk tempe,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam bakar padang ayam kentang ubi nasi merah nasi putih ayam bakar bumbu padang tanpa santan lauk tempe,"kentang, ubi, nasi merah, nasi putih",ayam bakar padang,ayam bakar bumbu padang tanpa santan lauk tempe,protein_ayam panggang,ayam bakar padang protein_ayam cooked,ayam bakar padang ayam bakar bumbu padang tanpa santan lauk tempe nasi merah ubi putih kentang protein_ayam panggang,ayam bakar padang ayam bakar bumbu padang tanpa santan lauk tempe,ayam,True
265,Ayam Maranggi Paket,ayam,395,kentang ubi nasi merah nasi putih,menu ayam maranggi box yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam maranggi box ayam kentang ubi nasi merah nasi putih menu ayam maranggi box yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam maranggi paket,menu ayam maranggi box yang sehat dan lezat,protein_ayam,ayam maranggi paket protein_ayam,ayam maranggi paket menu ayam maranggi box yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam maranggi paket menu ayam maranggi box yang sehat dan lezat,ayam,True
171,Ayam Sambel Geprek Mangkuk,ayam,371,kentang ubi nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam sambel geprek bowl ayam kentang ubi nasi merah nasi putih menu ayam sambel geprek bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam sambel geprek mangkuk,menu ayam sambel geprek bowl yang sehat dan lezat,protein_ayam,ayam sambel geprek mangkuk protein_ayam,ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam sambel geprek mangkuk menu ayam sambel geprek bowl yang sehat dan lezat,ayam,True
135,Ayam Potatoes Mangkuk,ayam,380,kentang ubi nasi merah nasi putih,menu chicken potatoes bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken potatoes bowl ayam kentang ubi nasi merah nasi putih menu chicken potatoes bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam potatoes mangkuk,menu chicken potatoes bowl yang sehat dan lezat,protein_ayam,ayam potatoes mangkuk protein_ayam,ayam potatoes mangkuk menu chicken potatoes bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam potatoes mangkuk menu chicken potatoes bowl yang sehat dan lezat,ayam,True
192,Dori Popcorn Premium,ikan,436,kentang ubi nasi merah nasi putih,menu dori popcorn premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori popcorn premium ikan kentang ubi nasi merah nasi putih menu dori popcorn premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",dori popcorn premium,menu dori popcorn premium yang sehat dan lezat,protein_ikan,dori popcorn premium protein_ikan,dori popcorn premium menu dori popcorn premium yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,dori popcorn premium menu dori popcorn premium yang sehat dan lezat,ikan,True
473,Lumpia Sayuran,vegetarian,220,nasi merah,lumpia isi sayuran segar digoreng renyah,"['nasi', 'merah']",lumpia sayuran vegetarian nasi merah lumpia isi sayuran segar digoreng renyah,nasi merah,lumpia sayuran,lumpia isi sayuran segar digoreng renyah,protein_vegetarian,lumpia sayuran protein_vegetarian,lumpia sayuran lumpia isi sayuran segar digoreng renyah nasi merah protein_vegetarian,lumpia sayuran lumpia isi sayuran segar digoreng renyah,vegetarian,True
22,Ayam Panggang Sambal Matah,ayam,395,jagung ubi nasi merah nasi putih,ayam panggang disajikan dengan sambal matah segar,"['nasi', 'merah', 'ubi', 'putih', 'jagung']",chicken grill sambal matah ayam jagung ubi nasi merah nasi putih ayam panggang disajikan dengan sambal matah segar,"jagung, ubi, nasi merah, nasi putih",ayam panggang sambal matah,ayam panggang disajikan dengan sambal matah segar,protein_ayam panggang,ayam panggang sambal matah protein_ayam cooked,ayam panggang sambal matah ayam panggang disajikan dengan sambal matah segar nasi merah ubi putih jagung protein_ayam panggang,ayam panggang sambal matah ayam panggang disajikan dengan sambal matah segar,ayam,True
23,Dori Katsu Balado,ikan,400,kentang nasi merah nasi putih,katsu ikan dori bumbu balado pedas tidak berminyak,"['nasi', 'putih', 'kentang', 'merah']",dori katsu balado ikan kentang nasi merah nasi putih katsu ikan dori bumbu balado pedas tidak berminyak,"kentang, nasi merah, nasi putih",dori katsu balado,katsu ikan dori bumbu balado pedas tidak berminyak,protein_ikan,dori katsu balado protein_ikan flavored,dori katsu balado katsu ikan dori bumbu balado pedas tidak berminyak nasi putih kentang merah protein_ikan,dori katsu balado katsu ikan dori bumbu balado pedas tidak berminyak,ikan,True
77,Ayam Bumbu Kari,ayam,400,kentang nasi merah nasi putih,ayam bumbu kari tanpa santan lauk telur orak arik,"['nasi', 'putih', 'kentang', 'merah']",ayam bumbu kari ayam kentang nasi merah nasi putih ayam bumbu kari tanpa santan lauk telur orak arik,"kentang, nasi merah, nasi putih",ayam bumbu kari,ayam bumbu kari tanpa santan lauk telur orak arik,protein_ayam,ayam bumbu kari protein_ayam flavored,ayam bumbu kari ayam bumbu kari tanpa santan lauk telur orak arik nasi putih kentang merah protein_ayam,ayam bumbu kari ayam bumbu kari tanpa santan lauk telur orak arik,ayam,True
87,Ayam Serundeng,ayam,400,jagung nasi merah nasi putih,ayam tabur serundeng tumis sayur lauk tahu tempe,"['nasi', 'putih', 'jagung', 'merah']",ayam serundeng ayam jagung nasi merah nasi putih ayam tabur serundeng tumis sayur lauk tahu tempe,"jagung, nasi merah, nasi putih",ayam serundeng,ayam tabur serundeng tumis sayur lauk tahu tempe,protein_ayam,ayam serundeng protein_ayam,ayam serundeng ayam tabur serundeng tumis sayur lauk tahu tempe nasi putih jagung merah protein_ayam,ayam serundeng ayam tabur serundeng tumis sayur lauk tahu tempe,ayam,True
379,Opor Susu Legenda Yellowfit,ayam,546,nasi merah,menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",opor susu legenda yellowfit lainnya nasi merah menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,opor susu legenda yellowfit,menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda yellowfit opor susu legenda yellowfit,opor susu legenda yellowfit menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,opor susu legenda yellowfit menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
343,Udang Cake Thailand Saus Spesial,ikan,524,nasi kuning,menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",prawn cake thailand sauce special ikan nasi kuning menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,udang cake thailand saus spesial,menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,,udang cake thailand saus spesial protein_ikan flavored,udang cake thailand saus spesial menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,udang cake thailand saus spesial menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,ikan,True
215,Ayam Karage Saus Korea Lengkap,ayam,379,kentang nasi merah nasi putih,menu chicken karage saus korea lengkap yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",chicken karage saus korea lengkap ayam kentang nasi merah nasi putih menu chicken karage saus korea lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam karage saus korea lengkap,menu chicken karage saus korea lengkap yang sehat dan lezat,protein_ayam,ayam karage saus korea lengkap protein_ayam flavored,ayam karage saus korea lengkap menu chicken karage saus korea lengkap yang sehat dan lezat nasi putih kentang merah protein_ayam,ayam karage saus korea lengkap menu chicken karage saus korea lengkap yang sehat dan lezat,ayam,True
29,Ayam Madu,ayam,400,kentang nasi merah nasi putih,ayam panggang saus madu rasa manis gurih,"['nasi', 'putih', 'kentang', 'merah']",chicken honey ayam kentang nasi merah nasi putih ayam panggang saus madu rasa manis gurih,"kentang, nasi merah, nasi putih",ayam madu,ayam panggang saus madu rasa manis gurih,protein_ayam,ayam madu protein_ayam,ayam madu ayam panggang saus madu rasa manis gurih nasi putih kentang merah protein_ayam,ayam madu ayam panggang saus madu rasa manis gurih,ayam,True
434,Torikatsu Ayam Ramen Spesial,ayam,544,nasi hitam,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",torikatsu chicken ramen special ayam nasi hitam menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,torikatsu ayam ramen spesial,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,torikatsu ayam ramen spesial protein_ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
187,Sei Sapi Diet,sapi,355,jagung nasi merah nasi putih,menu sei sapi diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",sei sapi diet sapi jagung nasi merah nasi putih menu sei sapi diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",sei sapi diet,menu sei sapi diet yang sehat dan lezat,protein_sapi,sei sapi diet protein_sapi,sei sapi diet menu sei sapi diet yang sehat dan lezat nasi putih jagung merah protein_sapi,sei sapi diet menu sei sapi diet yang sehat dan lezat,sapi,True
142,Ayam Bakar Mangkuk,ayam,430,kentang ubi nasi merah nasi putih,menu ayam bakar bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",ayam bakar bowl ayam kentang ubi nasi merah nasi putih menu ayam bakar bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam bakar mangkuk,menu ayam bakar bowl yang sehat dan lezat,protein_ayam panggang,ayam bakar mangkuk protein_ayam cooked,ayam bakar mangkuk menu ayam bakar bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam panggang,ayam bakar mangkuk menu ayam bakar bowl yang sehat dan lezat,ayam,True
326,Torikatsu Ayam Ramen Spesial,ayam,520,nasi merah,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",torikatsu chicken ramen special ayam nasi merah menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,torikatsu ayam ramen spesial,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,torikatsu ayam ramen spesial protein_ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
294,Sapi Yakiniku Spesial,sapi,355,kentang nasi merah nasi putih,menu beef yakiniku spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",beef yakiniku spesial sapi kentang nasi merah nasi putih menu beef yakiniku spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",sapi yakiniku spesial,menu beef yakiniku spesial yang sehat dan lezat,protein_sapi,sapi yakiniku spesial protein_sapi,sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat nasi putih kentang merah protein_sapi,sapi yakiniku spesial menu beef yakiniku spesial yang sehat dan lezat,sapi,True
213,Soto Ayam Spesial Diet,ayam,430,kentang nasi merah nasi putih,menu soto ayam spesial diet yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",soto ayam spesial diet ayam kentang nasi merah nasi putih menu soto ayam spesial diet yang sehat dan lezat,"kentang, nasi merah, nasi putih",soto ayam spesial diet,menu soto ayam spesial diet yang sehat dan lezat,protein_ayam,soto ayam spesial diet protein_ayam,soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat nasi putih kentang merah protein_ayam,soto ayam spesial diet menu soto ayam spesial diet yang sehat dan lezat,ayam,True
437,Sapi Short Ribs Rendang Spesial,sapi,542,nasi kuning,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",beef short ribs rendang special sapi nasi kuning menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,sapi short ribs rendang spesial,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,sapi short ribs rendang spesial protein_sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi nasi kuning protein_sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,sapi,True
303,Telur Mata Sapi Balado Spesial,sapi,527,pasta,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],telur mata sapi balado special lainnya pasta menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,pasta,telur mata sapi balado spesial,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,telur mata sapi balado spesial protein_sapi flavored,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi pasta protein_sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,sapi,True
216,Dori Sambal Matah Sehat,ikan,392,kentang ubi nasi merah nasi putih,menu dori sambal matah healthy yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",dori sambal matah healthy ikan kentang ubi nasi merah nasi putih menu dori sambal matah healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",dori sambal matah sehat,menu dori sambal matah healthy yang sehat dan lezat,protein_ikan,dori sambal matah sehat protein_ikan,dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat nasi merah ubi putih kentang protein_ikan,dori sambal matah sehat menu dori sambal matah healthy yang sehat dan lezat,ikan,True
475,Tumis Kangkung Bawang,vegetarian,200,nasi putih,tumis kangkung segar dengan bawang putih gurih,"['nasi', 'putih']",tumis kangkung bawang vegetarian nasi putih tumis kangkung segar dengan bawang putih gurih,nasi putih,tumis kangkung bawang,tumis kangkung segar dengan bawang putih gurih,protein_vegetarian,tumis kangkung bawang protein_vegetarian,tumis kangkung bawang tumis kangkung segar dengan bawang putih gurih nasi putih protein_vegetarian,tumis kangkung bawang tumis kangkung segar dengan bawang putih gurih,vegetarian,True
496,Kwetiau Siram Sayur,vegetarian,340,kwetiau,kwetiau kuah kental dengan sayuran dan telur kocok,['kwetiau'],kwetiau siram sayur vegetarian kwetiau kwetiau kuah kental dengan sayuran dan telur kocok,kwetiau,kwetiau siram sayur,kwetiau kuah kental dengan sayuran dan telur kocok,protein_vegetarian,kwetiau siram sayur protein_vegetarian,kwetiau siram sayur kwetiau kuah kental dengan sayuran dan telur kocok kwetiau protein_vegetarian,kwetiau siram sayur kwetiau kuah kental dengan sayuran dan telur kocok,vegetarian,True
94,Pasta Aglio Eolio Dori Stik,ikan,395,pasta,pasta aglio eolio stik dori hidangan penutup,['pasta'],pasta aglio eolio dori stik ikan pasta pasta aglio eolio stik dori hidangan penutup,pasta,pasta aglio eolio dori stik,pasta aglio eolio stik dori hidangan penutup,protein_ikan,pasta aglio eolio dori stik protein_ikan,pasta aglio eolio dori stik pasta aglio eolio stik dori hidangan penutup pasta protein_ikan,pasta aglio eolio dori stik pasta aglio eolio stik dori hidangan penutup,ikan,True
36,Ayam Tomyum,ayam,395,kentang nasi merah nasi putih,ayam kuah tomyum rasa asam pedas tanpa santan,"['nasi', 'putih', 'kentang', 'merah']",chicken tomyum ayam kentang nasi merah nasi putih ayam kuah tomyum rasa asam pedas tanpa santan,"kentang, nasi merah, nasi putih",ayam tomyum,ayam kuah tomyum rasa asam pedas tanpa santan,protein_ayam,ayam tomyum protein_ayam,ayam tomyum ayam kuah tomyum rasa asam pedas tanpa santan nasi putih kentang merah protein_ayam,ayam tomyum ayam kuah tomyum rasa asam pedas tanpa santan,ayam,True
69,Rawon Surabaya Sapi Ayam,ayam,395,kentang nasi merah nasi putih,rawon kuah rempah pilihan sapi atau ayam,"['nasi', 'putih', 'kentang', 'merah']",rawon surabaya sapi ayam lainnya kentang nasi merah nasi putih rawon kuah rempah pilihan sapi atau ayam,"kentang, nasi merah, nasi putih",rawon surabaya sapi ayam,rawon kuah rempah pilihan sapi atau ayam,protein_ayam protein_sapi,rawon surabaya sapi ayam protein_ayam protein_sapi,rawon surabaya sapi ayam rawon kuah rempah pilihan sapi atau ayam nasi putih kentang merah protein_ayam protein_sapi,rawon surabaya sapi ayam rawon kuah rempah pilihan sapi atau ayam,ayam,True
261,Ayam Bakar Padang Spesial,ayam,360,kentang nasi merah nasi putih,menu ayam bakar padang spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",ayam bakar padang spesial ayam kentang nasi merah nasi putih menu ayam bakar padang spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",ayam bakar padang spesial,menu ayam bakar padang spesial yang sehat dan lezat,protein_ayam panggang,ayam bakar padang spesial protein_ayam cooked,ayam bakar padang spesial menu ayam bakar padang spesial yang sehat dan lezat nasi putih kentang merah protein_ayam panggang,ayam bakar padang spesial menu ayam bakar padang spesial yang sehat dan lezat,ayam,True
467,Tempe Goreng Wijen,vegetarian,250,kentang nasi putih,tempe goreng dengan taburan wijen wangi gurih,"['kentang', 'nasi', 'putih']",tempe goreng wijen vegetarian kentang nasi putih tempe goreng dengan taburan wijen wangi gurih,"kentang, nasi putih",tempe goreng wijen,tempe goreng dengan taburan wijen wangi gurih,protein_vegetarian,tempe goreng wijen protein_vegetarian cooked,tempe goreng wijen tempe goreng dengan taburan wijen wangi gurih nasi putih kentang protein_vegetarian,tempe goreng wijen tempe goreng dengan taburan wijen wangi gurih,vegetarian,True
165,Ayam Stik Diet,ayam,360,kentang ubi nasi merah nasi putih,menu chicken steak diet yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken steak diet ayam kentang ubi nasi merah nasi putih menu chicken steak diet yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam stik diet,menu chicken steak diet yang sehat dan lezat,protein_ayam,ayam stik diet protein_ayam,ayam stik diet menu chicken steak diet yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam stik diet menu chicken steak diet yang sehat dan lezat,ayam,True
338,Ayam Soy Garlic Yangnyeom Yellowfit,ayam,526,pasta,menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],chicken soy garlic yangnyeom yellowfit ayam pasta menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta,ayam soy garlic yangnyeom yellowfit,menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam soy garlic yangnyeom yellowfit protein_ayam,ayam soy garlic yangnyeom yellowfit menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi pasta protein_ayam,ayam soy garlic yangnyeom yellowfit menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,ayam,True
53,Ayam Bakar,ayam,390,jagung nasi merah nasi putih,ayam bakar bumbu kecap tumis sayur lauk tempe,"['nasi', 'putih', 'jagung', 'merah']",ayam bakar ayam jagung nasi merah nasi putih ayam bakar bumbu kecap tumis sayur lauk tempe,"jagung, nasi merah, nasi putih",ayam bakar,ayam bakar bumbu kecap tumis sayur lauk tempe,protein_ayam panggang,ayam bakar protein_ayam cooked,ayam bakar ayam bakar bumbu kecap tumis sayur lauk tempe nasi putih jagung merah protein_ayam panggang,ayam bakar ayam bakar bumbu kecap tumis sayur lauk tempe,ayam,True
119,Soto Ayam Kuning,ayam,400,kentang nasi merah nasi putih,soto ayam bumbu kuning tanpa santan lauk telur,"['nasi', 'putih', 'kentang', 'merah']",soto ayam kuning ayam kentang nasi merah nasi putih soto ayam bumbu kuning tanpa santan lauk telur,"kentang, nasi merah, nasi putih",soto ayam kuning,soto ayam bumbu kuning tanpa santan lauk telur,protein_ayam,soto ayam kuning protein_ayam,soto ayam kuning soto ayam bumbu kuning tanpa santan lauk telur nasi putih kentang merah protein_ayam,soto ayam kuning soto ayam bumbu kuning tanpa santan lauk telur,ayam,True
225,Sapi Cabe Garam Lengkap,sapi,434,jagung nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",sapi cabe garam lengkap sapi jagung nasi merah nasi putih menu sapi cabe garam lengkap yang sehat dan lezat,"jagung, nasi merah, nasi putih",sapi cabe garam lengkap,menu sapi cabe garam lengkap yang sehat dan lezat,protein_sapi,sapi cabe garam lengkap protein_sapi,sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat nasi putih jagung merah protein_sapi,sapi cabe garam lengkap menu sapi cabe garam lengkap yang sehat dan lezat,sapi,True
340,Panggang Ikan Mozaru Khas,ikan,513,nasi hitam,menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",baked fish mozaru signature ikan nasi hitam menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,panggang ikan mozaru khas,menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,protein_ikan panggang,panggang ikan mozaru khas protein_ikan cooked,panggang ikan mozaru khas menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_ikan panggang,panggang ikan mozaru khas menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,ikan,True
218,Ayam Woku Mangkuk,ayam,395,kentang ubi nasi merah nasi putih,menu chicken woku bowl yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",chicken woku bowl ayam kentang ubi nasi merah nasi putih menu chicken woku bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",ayam woku mangkuk,menu chicken woku bowl yang sehat dan lezat,protein_ayam,ayam woku mangkuk protein_ayam,ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat nasi merah ubi putih kentang protein_ayam,ayam woku mangkuk menu chicken woku bowl yang sehat dan lezat,ayam,True
98,Cah Ayam Buncis,ayam,395,jagung nasi merah nasi putih,tumis buncis ayam cincang lauk telur mata sapi,"['nasi', 'putih', 'jagung', 'merah']",cah ayam buncis ayam jagung nasi merah nasi putih tumis buncis ayam cincang lauk telur mata sapi,"jagung, nasi merah, nasi putih",cah ayam buncis,tumis buncis ayam cincang lauk telur mata sapi,protein_ayam,cah ayam buncis protein_ayam,cah ayam buncis tumis buncis ayam cincang lauk telur mata sapi nasi putih jagung merah protein_ayam,cah ayam buncis tumis buncis ayam cincang lauk telur mata sapi,ayam,True
280,Ayam Saus Mentega Diet,ayam,362,jagung nasi merah nasi putih,menu ayam saus mentega diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",ayam saus mentega diet ayam jagung nasi merah nasi putih menu ayam saus mentega diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam saus mentega diet,menu ayam saus mentega diet yang sehat dan lezat,protein_ayam,ayam saus mentega diet protein_ayam flavored,ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat nasi putih jagung merah protein_ayam,ayam saus mentega diet menu ayam saus mentega diet yang sehat dan lezat,ayam,True
31,Bola Daging Teriyaki,sapi,400,kentang nasi merah nasi putih,bola daging sapi saus teriyaki dengan sayur sop,"['nasi', 'putih', 'kentang', 'merah']",bola daging teriyaki sapi kentang nasi merah nasi putih bola daging sapi saus teriyaki dengan sayur sop,"kentang, nasi merah, nasi putih",bola daging teriyaki,bola daging sapi saus teriyaki dengan sayur sop,protein_sapi teriyaki,bola daging teriyaki protein_sapi flavored,bola daging teriyaki bola daging sapi saus teriyaki dengan sayur sop nasi putih kentang merah protein_sapi teriyaki,bola daging teriyaki bola daging sapi saus teriyaki dengan sayur sop,sapi,True
169,Ayam Teriyaki Panggang Lengkap,ayam,379,jagung nasi merah kentang,menu chicken teriyaki grill lengkap yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",chicken teriyaki grill lengkap ayam jagung nasi merah kentang menu chicken teriyaki grill lengkap yang sehat dan lezat,"jagung, nasi merah, kentang",ayam teriyaki panggang lengkap,menu chicken teriyaki grill lengkap yang sehat dan lezat,protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap protein_ayam cooked flavored,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat nasi kentang jagung merah protein_ayam panggang teriyaki,ayam teriyaki panggang lengkap menu chicken teriyaki grill lengkap yang sehat dan lezat,ayam,True
